ID,Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions
10141,Kamran Khan,Express,Express Tribune,Sindh,Hyderabad,Education,Quetta blast: ISPR releases statement,,2 crore,431,1.46404284,,759838,,,No,,2024-02-23,Urdu,,22230
10142,Mohsin Raza Khan,Samaa,Nawa-i-Waqt,Islamabad,Lahore,Media,Top court rejects NAB report,34.73541734,10 lakh,,,0,,172272,50 lakh,No,0,2021-09-13,English,Neutral,
10143,shahzeb khanzada,AbbTakk News,Jang,Islamabad,Quetta,Judiciary,Supreme Court issues notice on corruption case,75.02571812,56730,-9,,,40.16952645,75466,1 crore,1,1,2020-06-07,urdu,Pro-Govt,5620
10144,Mohsin Raza Khan,SAMAA TV,Express Tribune,KPK,Lahore,Terrorism,"Media freedom at risk, says HRCP report",,2 crore,,-0.5220704304,-1,1287328,,50 lakh,0,,2024-02-13,Urdu,Pro-Govt,
10145,Dr. Shahid Masood,Samaa,Jang,AJK,Karachi,Judiciary,Health crisis follows floods,-3.280340039,15607404,,,,,,1531.002468,,1,2025-10-02,urdu,Pro-Govt,36634
10146,Talat Hussain,ARYNEWS,Dawn,Islamabad,Karachi,Education,ARY anchor arrested in midnight raid,,,4,1.995080153,0,1228295,168000,4040379.592,No,0,2019-12-13,ENG,Opposition,
10147,Nusrat Javed,GEO NEWS,Jang,Punjab,Quetta,Economy,Attack on Army convoy in Waziristan,,5 million,238,-0.316974057,,,76770,50 lakh,Yes,1,2023-01-10,Urdu,Neutral,43705
10148,Rauf Klasra,AbbTakk News,Express Tribune,KPK,Peshawar,Terrorism,Babar Azam century wins the game,112.1130734,7110593,120,,,1426594,,1 crore,1,1,2020-08-28,urdu,Pro-Govt,
10149,K. Khan,hum news,The News,KPK,Multan,Education,Cabinet approves controversial media law,60.52924761,2 crore,490,,0,35.86112438,,50 lakh,1,1,2024-07-05,,Opposition,
10150,Ansar Abbasi,SAMAA TV,Jang,AJK,Quetta,Politics,"Media freedom at risk, says HRCP report",39.086818,,143,-0.2055648011,,790156,104267,1 crore,1,,2023-09-17,Urdu,Opposition,39758
10151,Nusrat Javed,HUM News,Express Tribune,KPK,Hyderabad,Politics,Climate change worsening floods,,10 lakh,,,,,53874,50 lakh,Yes,0,2022-07-15,English,Pro-Govt,46297
10152,RAUF KLASSRA,ARY,The News,Islamabad,Peshawar,Terrorism,Punjab launches scholarship scheme,101.2599194,10 lakh,374,1.043149204,,7.690529442,91794,50 lakh,1,0,2025-11-16,English,,37310
10153,Mohsin Raza Khan,ary,Express Tribune,KPK,Karachi,Terrorism,Exports see slight recovery,62.08975303,3577399,485,-1.730641327,3,,,3719755.741,,0,2024-03-08,,Opposition,1587
10154,RAUF KLASSRA,geo,Jang,Islamabad,Peshawar,Sports,Election rigging scandal unfolds in Lahore,74.17533981,10 lakh,423,,1,34.85596572,,50 lakh,No,0,2019-08-13,,Neutral,
10155,Ansar Abbasi,ARY,Express Tribune,KPK,Quetta,Economy,Terrorist attack in Quetta leaves 20 dead,43.23149682,10 lakh,,,,,,,1,1,2024-11-03,Urdu,Pro-Govt,38398
10156,Rauf Klasra,AbbTakk News,Dawn,Balochistan,Rawalpindi,Education,Geo TV faces heavy fines by PEMRA,,,172,,2,,29150,50 lakh,Yes,,2022-03-25,English,Pro-Govt,
10157,Mohsin Raza Khan,hum news,Daily Pakistan,Balochistan,Multan,Crime,Senate passes constitutional amendment,23.24462973,10 lakh,,-1.689245658,2,38.84040117,169021,,1,,2020-08-17,,Pro-Govt,
10158,Dr. Shahid Masood,GEO NEWS,Express Tribune,Punjab,Karachi,Terrorism,Hockey team faces funding crisis,38.94392613,5 million,-21,,,26905,,1 crore,No,,2022-02-28,urdu,Pro-Govt,
10159,Umar Cheema,ARYNEWS,Daily Pakistan,Balochistan,Karachi,Health,Polio cases reported in KPK,,5 million,,-0.1536802128,,,,50 lakh,0,0,2022-12-08,ENG,Pro-Govt,
10160,Saleem Safi,Express-News,Jang,Punjab,Multan,Media,New talent emerges in under-19 cricket,58.23697383,2 crore,354,0.2901428069,2,,68142,2713795.882,,1,2020-03-09,,Neutral,5620
10161,Asma Shirazi,HUM News,Jang,Islamabad,Peshawar,Crime,High Court stays government decision,85.73171381,5 million,,,,,,2797332.126,,1,2018-02-28,,Neutral,12246
10162,Umar Cheema,DAWN,Nawa-i-Waqt,Balochistan,Islamabad,Judiciary,Exports see slight recovery,,2 crore,,-1.541581988,,,,1 crore,Yes,0,2022-09-07,urdu,Neutral,
10163,Rauf Klasra,ARY,Dawn,Islamabad,Peshawar,Health,Khan addresses rally in Multan,,2 crore,178,0.4777289893,,,81663,1 crore,Yes,0,2019-01-26,,Opposition,48188
10164,Owais Tohid,ARY,Nawa-i-Waqt,AJK,Multan,Economy,Aid for Balochistan still missing,50.22562288,5 million,183,0.3805521242,2,1061039,,1 crore,Yes,0,2025-09-18,urdu,Neutral,2507
10165,RAUF KLASSRA,DAWN,The News,Punjab,Multan,Health,Exports see slight recovery,,10 lakh,,0.27172432,2,,22413,50 lakh,1,1,2021-11-26,ENG,Pro-Govt,31601
10166,Kamran Khan,geo,Jang,Sindh,Islamabad,Health,"Judiciary under pressure, say analysts",89.59378392,18382129,,1.275816622,,45.94610136,,1 crore,0,1,2021-04-26,,,42194
10167,K. Khan,DawnNews,Express Tribune,Islamabad,Hyderabad,Sports,Thousands displaced due to rains,,17023490,-12,,1,46.29403441,11721,3869955.487,,0,2019-06-08,urdu,,
10168,Shahzeb Khanzada,ARY,Daily Pakistan,AJK,Quetta,Education,Trade deficit widens again,,2 crore,,0.7687525124,,22.68445886,,4134125.621,No,,2018-03-20,urdu,,6028
10169,Talat Hussain,DAWN,Jang,Sindh,Karachi,Politics,Polio cases reported in KPK,,,419,-0.286892772,2,7.734529196,38630,2210802.613,1,1,2020-01-27,,Pro-Govt,7907
10170,Saleem Safi,ary,Daily Pakistan,Islamabad,Lahore,Politics,Curriculum reforms announced,,2 crore,424,-1.966481536,,278413,44700,,Yes,0,2021-05-01,ENG,Pro-Govt,
10171,RAUF KLASSRA,HUM News,Express Tribune,KPK,Lahore,Sports,University students protest fee hikes,,2859608,,,,,122196,192029.8541,,,2020-12-27,English,Pro-Govt,
10172,Kamran Khan,DawnNews,Dawn,Sindh,Islamabad,Terrorism,Opposition stages walkout in National Assembly,,2 crore,,,-1,4.368410604,,1670224.635,1,1,2025-07-07,urdu,,
10173,Nusrat Javed,ARY,Nawa-i-Waqt,Punjab,Islamabad,Terrorism,Suicide bombing in Peshawar mosque,,5026807,,,3,7.122074037,104208,50 lakh,Yes,,2020-10-13,ENG,Opposition,
10174,Najam Sethi,hum news,Dawn,Balochistan,Multan,Sports,Dawn faces backlash over editorial,1.311074532,6476248,159,,,43.1346421,,50 lakh,1,1,2024-04-07,ENG,,25844
10175,Ansar Abbasi,ary,Daily Pakistan,Balochistan,Peshawar,Crime,Trade deficit widens again,,2 crore,,,,,62329,50 lakh,1,1,2019-08-17,urdu,Neutral,
10176,Umar Cheema,Geo,Daily Pakistan,AJK,Multan,Sports,Attack on Army convoy in Waziristan,3.417453377,2 crore,168,0.4008085566,0,1981613,,2412564.08,Yes,0,2022-05-02,English,Pro-Govt,41139
10177,Umar Cheema,ARYNEWS,Daily Pakistan,Islamabad,Hyderabad,Judiciary,Karachi drainage system collapses,37.84360229,9289665,131,,,1173124,191058,,,1,2020-12-18,English,Pro-Govt,34086
10178,Shahzeb Khanzada,geo,Jang,Balochistan,Peshawar,Economy,Budget deficit reaches record high,66.27345441,5020451,367,,,47.44111482,,1 crore,,1,2019-05-04,urdu,Opposition,25557
10179,Umar Cheema,Geo,Express Tribune,AJK,Quetta,Sports,PM announces new economic reforms,111.6919323,5 million,,,-1,,,50 lakh,No,1,2023-11-26,urdu,Neutral,
10180,K. Khan,Express-News,Express Tribune,Balochistan,Islamabad,Sports,ARY anchor arrested in midnight raid,113.3009858,,,,,1292794,,1 crore,Yes,1,2021-09-23,ENG,Opposition,17247
10181,RAUF KLASSRA,hum news,Nawa-i-Waqt,KPK,Islamabad,Terrorism,Suicide bombing in Peshawar mosque,,2 crore,219,,,,182318,,No,,2021-05-19,English,Pro-Govt,36499
10182,K. Khan,HUM News,Jang,Balochistan,Islamabad,Terrorism,Karachi Kings beat Multan Sultans,17.05077319,2 crore,-22,,,,,1 crore,No,1,2022-12-23,English,Opposition,15528
10183,Saleem Safi,GEO NEWS,Dawn,KPK,Quetta,Politics,NDMA warns of heavy rains in Punjab,95.97935397,2 crore,431,,3,1658090,157551,1 crore,Yes,1,2019-06-22,ENG,Pro-Govt,26648
10184,Najam Sethi,AbbTakk News,The News,Balochistan,Rawalpindi,Sports,Top court rejects NAB report,66.68870579,10 lakh,430,,1,8.33665699,173547,1 crore,,,2021-04-02,ENG,,22058
10185,Dr. Shahid Masood,Express-News,Express Tribune,Islamabad,Quetta,Crime,International squash event begins in Islamabad,99.46226539,2 crore,472,,0,30.35525623,64482,1148430.779,No,0,2025-12-08,ENG,Pro-Govt,39242
10186,Umar Cheema,ARY News,Express Tribune,KPK,Rawalpindi,Education,Digital media gaining popularity,83.5081909,5 million,,-0.33386966,4,1.878177603,,1126203.599,1,,2018-12-06,,Neutral,41886
10187,Kamran Shahid,Geo,Dawn,Balochistan,Rawalpindi,Crime,Health workers go on strike in Punjab,,5 million,,-1.688697302,,890823,,,,1,2021-09-28,,Pro-Govt,
10188,Mohsin Raza,DAWN,Express Tribune,KPK,Rawalpindi,Politics,CJ addresses bar association,44.73581045,10 lakh,,1.352570681,,1285576,,,Yes,,2021-03-27,urdu,,
10189,Owais Tohid,DawnNews,Nawa-i-Waqt,Punjab,Lahore,Media,Babar Azam century wins the game,,10834261,,,,,56344,1371841.153,,0,2021-03-03,,Opposition,
10190,Umar Cheema,Samaa,Jang,Sindh,Islamabad,Crime,Senate passes constitutional amendment,,2 crore,,,5,,191918,2377808.733,Yes,,2021-02-24,Urdu,Opposition,
10191,Mohsin Raza Khan,SAMAA TV,The News,Punjab,Islamabad,Politics,New talent emerges in under-19 cricket,,12901507,,0.3128227452,-1,340710,,1 crore,Yes,,2023-01-06,English,,
10192,Umar Cheema,ARY,Dawn,Islamabad,Islamabad,Economy,PEMRA issues warning to multiple channels,92.06100113,5 million,,0.5348411406,,1983317,63907,1 crore,,0,2023-04-06,English,Pro-Govt,
10193,Kamran Khan,HUM News,Daily Pakistan,KPK,Peshawar,Media,Court orders release of missing persons,31.65265031,,165,,,29.98147579,112044,654596.2907,0,,2020-11-13,urdu,Neutral,39596
10194,Mohsin Raza,ARY,The News,Sindh,Lahore,Education,Dollar hits 300 in open market,,10 lakh,147,,,,18728,1 crore,,0,2018-10-08,ENG,Opposition,
10195,Rauf Klasra,ary,Dawn,Balochistan,Hyderabad,Sports,Doctors protest low salaries,,,-9,,5,891847,,1 crore,1,0,2023-09-17,urdu,Opposition,
10196,Umar Cheema,SAMAA TV,Dawn,Balochistan,Multan,Judiciary,Villages submerged in southern Punjab,19.61660005,5 million,424,,4,47.70509589,198634,1300179.837,Yes,0,2023-02-05,ENG,Opposition,
10197,Owais Tohid,Samaa,Dawn,Islamabad,Peshawar,Terrorism,News anchor resigns citing threats,,15046668,,,,,120795,,0,0,2021-12-01,urdu,Neutral,
10198,Kamran Shahid,DAWN,Nawa-i-Waqt,Islamabad,Islamabad,Media,NDMA warns of heavy rains in Punjab,,5076325,,,4,42.31417254,,1 crore,,1,2018-02-06,English,,14736
10199,Kamran Shahid,HUM News,Daily Pakistan,Sindh,Karachi,Health,Punjab launches scholarship scheme,,1913455,,-0.7347958575,,48.32534683,,2414690.249,,0,2025-07-06,Urdu,Pro-Govt,
10200,K. Khan,Express,Express Tribune,AJK,Quetta,Sports,Vaccination drive faces shortage,,,81,-1.698875769,,46.44227134,40975,1 crore,1,,2022-07-17,Urdu,,19611
10201,Dr. Shahid Masood,ary,Jang,AJK,Peshawar,Crime,Bomb blast near Karachi market,,,,,,919678,83797,50 lakh,,0,2018-01-08,urdu,,
10202,Najam Sethi,SAMAA TV,The News,Islamabad,Lahore,Economy,Bomb blast near Karachi market,111.7005847,,477,,,,,2169809.454,No,,2023-02-08,Urdu,Neutral,
10203,Rauf Klasra,hum news,Jang,Islamabad,Islamabad,Politics,Chief Justice orders suo moto on Karachi violence,,10 lakh,404,-1.949073493,,320735,,5786.549748,0,1,2019-09-28,urdu,Opposition,28620
10204,Mohsin Raza Khan,ARY,The News,Balochistan,Lahore,Economy,High Court stays government decision,94.53412015,10 lakh,,1.350759768,,,78129,1 crore,No,0,2024-03-05,urdu,Pro-Govt,
10205,Shahzeb Khanzada,GEO NEWS,Nawa-i-Waqt,Sindh,Peshawar,Health,Health crisis follows floods,107.7392292,5 million,291,,3,400154,160049,50 lakh,No,1,2018-04-15,Urdu,Opposition,
10206,Umar Cheema,hum news,The News,KPK,Quetta,Education,Ban on talkshows sparks outrage,,2 crore,259,,1,,9961,50 lakh,No,,2024-03-01,,Opposition,
10207,Ansar Abbasi,ary,Express Tribune,KPK,Lahore,Crime,"Media freedom at risk, says HRCP report",,10 lakh,,-0.4826023811,,41.37697488,195607,1 crore,No,1,2019-11-14,ENG,,
10208,Saleem Safi,hum news,Daily Pakistan,Islamabad,Islamabad,Economy,High Court stays government decision,,,484,-1.414460697,,10.188716,,50 lakh,No,,2019-10-27,,Opposition,20599
10209,Owais Tohid,ARY News,The News,Sindh,Quetta,Crime,Karachi drainage system collapses,73.67340393,5 million,,0.4542026632,-1,,17793,1253514.115,0,,2025-03-23,urdu,Pro-Govt,
10210,Ansar Abbasi,ARYNEWS,Dawn,AJK,Karachi,Judiciary,Karachi drainage system collapses,,,446,0.8624453748,4,45.63454152,7801,3472797.874,0,1,2022-07-18,English,Neutral,20388
10211,Nusrat Javed,ARY News,Jang,Balochistan,Islamabad,Judiciary,Mental health awareness campaign launched,12.44163755,2 crore,,1.306812139,2,,109364,1 crore,No,1,2025-10-11,ENG,Pro-Govt,11126
10212,shahzeb khanzada,ARY News,Nawa-i-Waqt,Islamabad,Rawalpindi,Media,COVID resurfaces in Islamabad schools,,2105936,,1.186746729,,37.80606217,7260,1327295.514,1,,2023-12-11,English,Neutral,2059
10213,Ansar Abbasi,Express,Dawn,Sindh,Multan,Health,Karachi Kings beat Multan Sultans,69.32196169,,270,,-1,374266,,,,,2021-10-14,urdu,Pro-Govt,34511
10214,Asma Shirazi,HUM News,Daily Pakistan,Punjab,Peshawar,Crime,Government announces new health policy,-1.907443554,3258630,345,-0.2028525895,3,20.48770009,4115,50 lakh,Yes,0,2023-12-17,English,Pro-Govt,1187
10215,Nusrat Javed,DawnNews,Daily Pakistan,Balochistan,Islamabad,Crime,News anchor resigns citing threats,112.1341481,,,1.707291967,,,1803,2546660.594,0,0,2018-12-03,urdu,Opposition,
10216,Mohsin Raza,geo,Daily Pakistan,KPK,Karachi,Health,Digital media gaining popularity,54.86060086,2 crore,98,,0,24.35855475,,1 crore,0,1,2023-04-21,ENG,Pro-Govt,
10217,Dr. Shahid Masood,GEO NEWS,Daily Pakistan,KPK,Quetta,Crime,Suicide bombing in Peshawar mosque,27.36667741,10 lakh,,-1.24013936,,23.66638935,163962,,0,1,2018-11-10,ENG,Opposition,34226
10218,Ansar Abbasi,Geo,Jang,KPK,Karachi,Health,Pakistan seeks investment from Gulf countries,,5 million,,1.70604303,4,48.30805915,108700,1 crore,Yes,,2021-04-03,,Pro-Govt,
10219,shahzeb khanzada,geo,Nawa-i-Waqt,AJK,Quetta,Health,Security forces foil major terror bid,,5 million,-10,1.881323819,1,1683440,78142,1 crore,1,1,2023-12-18,ENG,,
10220,Najam Sethi,hum news,Nawa-i-Waqt,Islamabad,Karachi,Politics,NDMA warns of heavy rains in Punjab,17.07196466,,,,,,71138,,0,1,2024-07-14,Urdu,Pro-Govt,44565
10221,Rauf Klasra,Express,Dawn,Punjab,Peshawar,Terrorism,Health workers go on strike in Punjab,,5 million,200,,,1331112,172735,50 lakh,1,0,2021-03-24,Urdu,Pro-Govt,
10222,Talat Hussain,SAMAA TV,Express Tribune,KPK,Islamabad,Health,New universities to be established,,2 crore,,,,594218,47923,50 lakh,0,,2019-11-26,ENG,Neutral,
10223,Shahzeb Khanzada,ARYNEWS,Dawn,Punjab,Peshawar,Politics,Pakistan football team defeats India,45.37573157,5 million,239,,,191019,,1 crore,1,,2018-02-05,urdu,,43338
10224,Shahzeb Khanzada,SAMAA TV,Jang,Balochistan,Quetta,Economy,NDMA warns of heavy rains in Punjab,,5 million,320,,3,,,1 crore,0,1,2021-07-28,urdu,,
10225,Kamran Shahid,ARYNEWS,Daily Pakistan,Sindh,Islamabad,Sports,Punjab bans junk food in schools,-0.3305964735,,,,,10.6855928,,1 crore,0,0,2023-12-08,ENG,Opposition,41314
10226,Dr. Shahid Masood,DAWN,Nawa-i-Waqt,KPK,Peshawar,Judiciary,Ban on talkshows sparks outrage,,,,0.8691433522,4,,,50 lakh,Yes,0,2023-06-05,,Neutral,13832
10227,Kamran Shahid,AbbTakk News,Daily Pakistan,Balochistan,Lahore,Health,Karachi Kings beat Multan Sultans,,3400031,,,5,543573,42268,396376.8529,No,0,2018-11-11,Urdu,Neutral,
10228,Ansar Abbasi,ARY,Dawn,KPK,Quetta,Politics,High Court stays government decision,,10 lakh,,-1.107626978,,1943948,,1 crore,Yes,1,2019-05-26,ENG,Pro-Govt,
10229,Umar Cheema,hum news,Daily Pakistan,Sindh,Quetta,Politics,Villages submerged in southern Punjab,,10 lakh,108,,,1085105,,50 lakh,Yes,1,2023-10-06,English,Opposition,41641
10230,shahzeb khanzada,DawnNews,Jang,Sindh,Rawalpindi,Terrorism,Villages submerged in southern Punjab,,,,,3,1652671,149634,,1,1,2018-08-05,English,Neutral,
10231,Asma Shirazi,DAWN,The News,Sindh,Multan,Economy,Suicide bombing in Peshawar mosque,95.00880908,2 crore,117,0.6184633829,2,,,814202.5175,Yes,0,2024-11-08,,Pro-Govt,16984
10232,Matiullah Jan,Express-News,Nawa-i-Waqt,Balochistan,Hyderabad,Terrorism,Election rigging scandal unfolds in Lahore,,5 million,,0.8195173152,,,,,,,2018-02-06,,,
10233,K. Khan,ARY News,Daily Pakistan,AJK,Islamabad,Terrorism,Karachi drainage system collapses,11.77801457,,174,,,,,1 crore,,0,2022-09-26,ENG,,18676
10234,shahzeb khanzada,ARY,The News,Punjab,Peshawar,Sports,Senate passes constitutional amendment,,2 crore,140,,,2.452116714,,1 crore,0,,2018-11-01,,,44827
10235,RAUF KLASSRA,DAWN,Nawa-i-Waqt,Punjab,Karachi,Education,Case adjourned till next week,,2 crore,,1.55425232,,,,1816693.876,Yes,0,2019-12-07,,,
10236,Matiullah Jan,hum news,Daily Pakistan,Balochistan,Hyderabad,Terrorism,Election rigging scandal unfolds in Lahore,,16097182,364,-1.876414998,5,1680276,115339,,,0,2020-03-06,,Opposition,
10237,Mohsin Raza,DAWN,Daily Pakistan,Punjab,Hyderabad,Sports,PSL Final: Lahore Qalandars vs Karachi Kings,63.25241715,1929464,,-0.288268321,4,16.7569983,,,No,0,2019-03-12,ENG,,
10238,K. Khan,GEO NEWS,Express Tribune,Sindh,Multan,Sports,Supreme Court issues notice on corruption case,,,,0.7232190038,,36.91520425,,1 crore,0,0,2023-05-21,,,6024
10239,Matiullah Jan,ary,Nawa-i-Waqt,Sindh,Lahore,Media,PSL Final: Lahore Qalandars vs Karachi Kings,61.04174624,10 lakh,312,0.9176079781,5,,,,0,,2018-12-06,urdu,Pro-Govt,20032
10240,Nusrat Javed,ary,Daily Pakistan,Sindh,Lahore,Judiciary,Hockey team faces funding crisis,,2 crore,442,-0.3187422811,3,0.8503937439,,50 lakh,1,,2021-07-09,English,,10930
10241,Asma Shirazi,DAWN,Nawa-i-Waqt,Sindh,Lahore,Education,Opposition stages walkout in National Assembly,28.27650635,,,,,25.21901414,36222,4798585.273,,,2021-06-05,English,Neutral,
10242,Talat Hussain,ARYNEWS,Dawn,Sindh,Peshawar,Politics,Court orders release of missing persons,80.70524441,11159955,275,-1.146305233,,,87528,773402.7469,,,2020-08-07,,Opposition,
10243,Mohsin Raza,GEO NEWS,Daily Pakistan,Sindh,Islamabad,Media,Geo TV faces heavy fines by PEMRA,,,373,,0,3.271578915,188302,1 crore,No,,2019-06-07,Urdu,Opposition,
10244,Matiullah Jan,AbbTakk News,Express Tribune,KPK,Rawalpindi,Education,Government launches CPEC project in Gwadar,-3.064187411,2 crore,,0.2520852213,,38.22168361,132361,4252181.752,0,0,2021-06-28,ENG,Pro-Govt,
10245,Rauf Klasra,GEO NEWS,Jang,AJK,Rawalpindi,Education,Terrorist attack in Quetta leaves 20 dead,,10 lakh,,-1.219278424,1,1585658,56850,2530424.788,Yes,1,2021-09-24,urdu,,14138
10246,Talat Hussain,DawnNews,Jang,Punjab,Islamabad,Judiciary,New universities to be established,90.62733182,10 lakh,,-1.240263498,,0.6009761006,105821,1 crore,No,0,2025-02-06,English,,632
10247,Ansar Abbasi,ARYNEWS,Express Tribune,KPK,Rawalpindi,Sports,Digital media gaining popularity,7.356309818,10 lakh,259,,-1,77673,118767,1 crore,0,1,2025-12-11,English,Neutral,
10248,Mohsin Raza Khan,ARYNEWS,Express Tribune,AJK,Quetta,Media,COVID resurfaces in Islamabad schools,,2 crore,,,4,,,,No,1,2021-09-02,urdu,Opposition,15014
10249,Dr. Shahid Masood,ARY News,Jang,Punjab,Karachi,Education,Aid for Balochistan still missing,119.9450818,11739995,,,2,828142,39334,712882.0891,Yes,0,2025-05-21,urdu,Pro-Govt,24113
10250,Mohsin Raza,ary,Daily Pakistan,Islamabad,Rawalpindi,Judiciary,COVID resurfaces in Islamabad schools,53.42354189,19309495,104,0.8111367789,3,1267437,,50 lakh,,0,2024-05-04,,,
10251,Talat Hussain,hum news,Daily Pakistan,Balochistan,Islamabad,Politics,Ban on talkshows sparks outrage,7.350982204,2 crore,427,-0.9161197445,2,,58963,50 lakh,No,0,2018-12-21,,Pro-Govt,25058
10252,Kamran Shahid,GEO NEWS,Dawn,Balochistan,Hyderabad,Judiciary,Flood relief funds under scrutiny,65.82827994,10 lakh,,-0.9388150013,1,524350,,2357063.049,No,0,2025-08-19,English,Neutral,
10253,Mohsin Raza,Express,Jang,Balochistan,Rawalpindi,Politics,Vaccination drive faces shortage,77.70984161,,-21,0.3304978546,2,1890012,,,No,0,2022-08-01,ENG,Opposition,32676
10254,Ansar Abbasi,ary,Jang,KPK,Islamabad,Terrorism,Pakistan seeks investment from Gulf countries,,2 crore,,-0.7940310223,,20.41959253,,50 lakh,,0,2024-01-10,,Neutral,
10255,Kamran Shahid,Express-News,Daily Pakistan,Punjab,Rawalpindi,Sports,"Judiciary under pressure, say analysts",60.64546484,,441,0.8791371604,,993869,,50 lakh,,1,2019-11-11,ENG,,
10256,Mohsin Raza,DawnNews,Jang,Islamabad,Quetta,Terrorism,Matric exams leaked in Karachi,107.1664769,5 million,-2,0.3003630534,,8.745378601,151909,1 crore,1,,2020-10-16,,Neutral,
10257,Dr. Shahid Masood,DawnNews,The News,Balochistan,Lahore,Sports,Flood relief funds under scrutiny,21.88426996,10 lakh,,,-1,1894773,55142,50 lakh,No,0,2019-09-22,urdu,,
10258,Najam Sethi,ARY,The News,KPK,Quetta,Economy,Quetta blast: ISPR releases statement,89.51894073,6305275,,1.787757108,,,,1145613.6,Yes,,2023-12-17,ENG,Pro-Govt,30831
10259,Ansar Abbasi,GEO NEWS,Nawa-i-Waqt,AJK,Multan,Judiciary,Curriculum reforms announced,,2 crore,,,0,1585080,,50 lakh,Yes,,2022-04-10,English,Neutral,
10260,Rauf Klasra,HUM News,Dawn,KPK,Karachi,Politics,Court orders release of missing persons,,10 lakh,,-1.12163225,,735236,,50 lakh,,0,2023-08-14,,Pro-Govt,36439
10261,Mohsin Raza,SAMAA TV,The News,KPK,Multan,Judiciary,Government announces new health policy,,5 million,,-0.7362211999,,1605412,65745,,0,,2025-02-18,English,,
10262,Rauf Klasra,SAMAA TV,Nawa-i-Waqt,Punjab,Islamabad,Crime,Private schools increase fees,10.14642903,,,,1,3.290152342,,,0,0,2025-06-09,urdu,,29325
10263,Najam Sethi,ARYNEWS,Jang,Punjab,Hyderabad,Crime,Mental health awareness campaign launched,,15530591,-26,,,27.0167989,197620,50 lakh,0,,2019-09-02,Urdu,Opposition,
10264,Mohsin Raza,ARYNEWS,Jang,Islamabad,Quetta,Crime,Attack on Army convoy in Waziristan,58.85983725,5 million,,,3,,24036,50 lakh,0,,2020-08-20,ENG,,43534
10265,Umar Cheema,Express,The News,KPK,Lahore,Politics,Student unions demand restoration,,10 lakh,222,-0.1894816766,,11.20080428,,,No,1,2025-07-01,ENG,Pro-Govt,32537
10266,Kamran Khan,SAMAA TV,Dawn,Punjab,Quetta,Politics,Senate passes constitutional amendment,98.35103854,2 crore,,-1.103732734,1,,,,Yes,1,2021-01-13,Urdu,Pro-Govt,
10267,Owais Tohid,ARY News,Dawn,AJK,Islamabad,Judiciary,Curriculum reforms announced,,5 million,,0.7466228998,4,,,50 lakh,0,1,2020-02-23,Urdu,Opposition,
10268,Umar Cheema,SAMAA TV,Jang,KPK,Rawalpindi,Sports,Government announces new health policy,,,257,-1.769551407,,24.04873495,,1 crore,0,,2018-06-22,ENG,Pro-Govt,
10269,Nusrat Javed,hum news,Daily Pakistan,Balochistan,Quetta,Economy,IMF deal finalised today,,2 crore,,-1.151150333,1,,,50 lakh,No,1,2019-10-24,ENG,Neutral,
10270,Saleem Safi,ary,Nawa-i-Waqt,Sindh,Karachi,Economy,Suicide bombing in Peshawar mosque,77.62338003,16970521,446,,,,,1 crore,0,1,2020-04-16,ENG,,
10271,Ansar Abbasi,ary,Jang,Balochistan,Peshawar,Crime,"Media freedom at risk, says HRCP report",,10 lakh,,-1.404380647,,41.34881273,68316,1 crore,Yes,0,2021-12-17,Urdu,Opposition,10431
10272,Owais Tohid,SAMAA TV,Nawa-i-Waqt,Punjab,Hyderabad,Politics,Pakistan football team defeats India,93.1641565,,380,,4,45.79252405,178640,50 lakh,1,1,2020-07-10,urdu,Opposition,
10273,Mohsin Raza Khan,ARY News,Nawa-i-Waqt,Punjab,Hyderabad,Education,PPP vs PMLN war of words heats up,,2 crore,211,1.463141349,,30.45938132,64478,1 crore,1,0,2021-11-17,English,,
10274,Rauf Klasra,ary,Daily Pakistan,AJK,Lahore,Sports,New tax reforms spark debate in parliament,,2 crore,,-1.606788405,,,,977819.3748,1,1,2022-02-05,ENG,Neutral,1595
10275,K. Khan,ary,Dawn,Islamabad,Multan,Terrorism,Health crisis follows floods,,2 crore,,,,27.05721729,33336,50 lakh,0,,2020-03-25,Urdu,Neutral,20134
10276,Owais Tohid,Geo,The News,AJK,Peshawar,Education,ARY anchor arrested in midnight raid,,,325,,,,,,,0,2018-10-15,English,,12921
10277,Mohsin Raza Khan,DawnNews,Jang,Islamabad,Lahore,Politics,HEC budget slashed again,,2 crore,,-1.907105337,4,31.78371355,33522,1 crore,1,1,2021-08-07,Urdu,Neutral,
10278,Umar Cheema,Geo,The News,Punjab,Peshawar,Health,Karachi drainage system collapses,,5 million,,0.145260599,1,,177029,50 lakh,No,1,2019-12-14,ENG,Opposition,
10279,Ansar Abbasi,ary,Jang,Balochistan,Quetta,Politics,Villages submerged in southern Punjab,11.10691059,2 crore,180,-1.767270144,0,39.57547281,26484,50 lakh,,1,2020-12-21,urdu,,39914
10280,Rauf Klasra,Geo,Jang,Sindh,Karachi,Crime,PPP vs PMLN war of words heats up,,10 lakh,182,1.555083494,4,729739,,,1,0,2025-06-20,ENG,Pro-Govt,33605
